Variable,Absent Status,,International Migrant Status,,International Absentee Status,,Respondent Migrant Status,,Internal Migrant Status,
,Absent,Non-Absent,Migrant,Non-Migrant,International Absentee,Non-International Absentee,Respondent Migrant,Respondent Non-Migrant,Internal Migrant,Non-Internal Migrant
Sample Size,12471,77638,9781,80293,7467,82607,2338,75300,4969,85081
Age:,,,,,,,,,,
Age in 2017,25.61 (11.51),28.03 (20.4),29.27 (10.65),27.51 (20.24),28.03 (10.56),27.67 (20.04),33.21 (9.91),27.87 (20.62),21.95 (11.88),28.03 (19.74)
Age at Conflict Start,4.61 (11.51),7.03 (20.4),8.27 (10.65),6.51 (20.24),7.03 (10.56),6.67 (20.04),12.21 (9.91),6.87 (20.62),0.95 (11.88),7.03 (19.74)
Male (%),81.67,46.35,90.91,46.39,90,47.72,93.93,44.88,69.09,50.17
Education Distribution (%):,,,,,,,,,,
No Education,8.15,1.35,7.53,1.8,9.52,1.74,0.29,1.4,5.93,2.4
Primary (1-5),20.74,39.43,23.58,37.98,22.33,37.62,27.93,39.92,18.25,37.26
Secondary (6-12),64.52,54.82,64.85,55.26,63.84,55.75,68.69,54.23,65.65,55.96
Tertiary,6.59,4.39,4.04,4.96,4.31,4.89,3.09,4.45,10.17,4.38
Ethnicity Distribution (%):,,,,,,,,,,
Hill High Caste,41.98,36.11,38.72,36.7,38.79,36.75,38.49,36.03,46.74,36.34
Hill Janajati,27.96,27.36,27.5,27.44,26.68,27.51,30.11,27.28,29.89,27.3
Terai/Madhesi,12.31,18.58,11.75,18.45,11.54,18.28,12.54,18.77,13.51,17.96
Dalit,14.89,14.41,18.31,14.01,19.13,14.05,15.64,14.37,8.49,14.83
Muslim,2.86,3.54,3.72,3.41,3.86,3.41,3.22,3.55,1.37,3.57
Occupation Type (%):,,,,,,,,,,
Agriculture,0.66,14.5,2.53,11.75,0.65,11.9,15.18,14.47,0.66,10.86
High Skilled,5.02,12.13,2.19,12.03,1.78,11.73,4.95,12.54,10,9.41
Service & Clerical,25.53,27.09,30.59,25.11,32.18,24.88,19.69,27.5,15.34,28.43
Craft & Manufacturing,15.28,25.65,19.33,22.66,16.55,23.32,38.17,24.95,13.27,23.25
Elementary/Low Skilled,49.74,20.24,43.19,27,46.36,26.76,21.89,20.15,54.94,27.11
Armed Forces,3.77,0.38,2.17,1.46,2.47,1.4,0.11,0.4,5.8,0.93
,,,,,,,,,,
Notes:,,,,,,,,,,
* Notes:*,,,,,,,,,,
* Standard deviations in parentheses for continuous variables.,,,,,,,,,,
* Absent Status: All Individuals absent from Hhat the time of survey both inside Nepal or outside of Nepal,,,,,,,,,,
"* International Migrant Status: All individuals out of Nepal at the time of survey as well as individuals present at the time of survey, who had been out of Nepal for at least 3 months for work",,,,,,,,,,
* International Absentee Status: All individuals out of Nepal at the time of survey. ,,,,,,,,,,
* Respondent Migrant Status: All individuals who travelled abroad for at least 3 months for work but are at home during survey.,,,,,,,,,,
* Internal Migrant Status: All individuals out of their home but inside the country at the time of survey,,,,,,,,,,
